R,G,B,H,S,V,Texture,label
164.96795654296875,169.9466552734375,158.96466064453125,84.916748046875,73.543701171875,186.36669921875,48.96130886354338,ripe
169.28564453125,171.449462890625,125.82733154296875,71.65093994140625,101.18682861328125,179.78466796875,61.516624243825156,ripe
170.23614501953125,173.0999755859375,153.55450439453125,83.9786376953125,78.85992431640625,188.26953125,47.01917728724204,ripe
157.04095458984375,158.776123046875,135.06085205078125,73.8370361328125,88.4864501953125,173.87799072265625,51.00919805017202,ripe
165.37646484375,168.5987548828125,151.7744140625,88.04534912109375,70.05364990234375,181.52288818359375,43.75643499595205,ripe
162.104736328125,163.1005859375,137.86181640625,75.29217529296875,87.84649658203125,177.50811767578125,51.09843742750019,ripe
213.2177734375,214.341552734375,204.9119873046875,89.66619873046875,31.86883544921875,222.3515625,27.826020643291073,ripe
158.85150146484375,158.53125,126.10076904296875,68.64739990234375,93.472412109375,171.82366943359375,60.415952399610966,ripe
213.03033447265625,214.34161376953125,205.6815185546875,90.44384765625,31.333740234375,222.42291259765625,27.34395773272852,ripe
174.94549560546875,183.37298583984375,175.7547607421875,92.5623779296875,53.67510986328125,194.32269287109375,38.72695800956882,ripe
148.61566162109375,158.62176513671875,156.91961669921875,75.0841064453125,87.9176025390625,186.23004150390625,44.55917351611133,ripe
168.19219970703125,170.63580322265625,150.26470947265625,81.0819091796875,80.249755859375,186.0247802734375,47.62285118436301,ripe
168.83721923828125,171.32281494140625,143.98236083984375,81.63134765625,75.01953125,180.79248046875,48.80104574062198,ripe
86.034423828125,95.088623046875,94.52655029296875,82.94403076171875,108.29925537109375,114.07757568359375,50.39013453527871,ripe
211.19805908203125,212.9464111328125,201.45159912109375,85.06854248046875,38.18817138671875,222.3448486328125,31.89000731644154,ripe
173.63275146484375,175.7587890625,154.74884033203125,84.53778076171875,70.43408203125,188.1632080078125,49.34590353919294,ripe
159.787109375,155.0194091796875,139.74676513671875,81.61016845703125,51.5657958984375,164.69195556640625,60.20407637750437,ripe
136.72845458984375,107.15283203125,128.3084716796875,106.32781982421875,95.02105712890625,143.55517578125,48.17164827460676,ripe
181.3226318359375,182.65252685546875,156.69195556640625,84.28668212890625,72.7626953125,193.648681640625,52.29418118598692,ripe
168.2325439453125,172.85247802734375,160.1220703125,81.5972900390625,73.8963623046875,189.37255859375,53.730973115102465,ripe
163.71630859375,166.86468505859375,155.88812255859375,84.7476806640625,68.65478515625,181.4105224609375,49.371093621072745,ripe
145.05975341796875,147.27752685546875,128.6259765625,76.90234375,70.89898681640625,158.359130859375,67.34051444561895,ripe
167.2413330078125,167.93243408203125,133.58917236328125,77.84912109375,90.56744384765625,180.11126708984375,50.030296624695936,ripe
166.42205810546875,173.026611328125,152.5875244140625,85.6800537109375,71.8359375,182.9791259765625,45.90823008250617,ripe
